,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Switzerland,United States of America's exports to Switzerland,United States of America's exports to Switzerland,Switzerland's imports from world,Switzerland's imports from world,Switzerland's imports from world,Switzerland's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
78,'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,2064,1114,1624,,17616,15565,17510,,21699,23910,23615
79,'57,Carpets and other textile floor coverings,1272,2020,1443,,226357,203802,209008,,776609,777073,753219
80,'65,Headgear and parts thereof,816,625,1299,,208306,223618,209654,,363053,520352,519846
81,'13,"Lac; gums, resins and other vegetable saps and extracts",4475,2826,1194,,102572,99755,100732,,634679,693972,603222
82,'10,Cereals,859,1390,1133,,353250,516705,383017,,30352567,31578972,23343580
83,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,635,675,564,,38597,41656,40408,,131555,159929,143078
84,'80,Tin and articles thereof,161,371,388,,8210,10059,6799,,238451,261297,244797
85,'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",424,467,350,,55534,61364,66317,,61276,62325,62071
86,'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,247,554,347,,65509,65702,63466,,403747,414943,428342
87,'31,Fertilisers,664,2615,299,,173468,241679,173679,,4621063,8472033,5483859
88,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,256,435,287,,105160,121476,142656,,1045682,1150195,1197838
89,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",232,29,130,,439853,429880,440568,,2341858,2564607,2400752
90,'60,Knitted or crocheted fabrics,592,242,113,,68485,65850,56835,,821834,905325,751910
91,'78,Lead and articles thereof,67,7,111,,17951,16058,12503,,270871,192932,235419
92,'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,249,38,90,,6103,6658,5932,,32506,31254,25974
93,'45,Cork and articles of cork,62,263,67,,30677,29335,26705,,21103,26438,26842
94,'43,Furskins and artificial fur; manufactures thereof,103,16,34,,30898,31406,32386,,142967,122462,101152
95,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",27,8,29,,33409,36517,30571,,27025,21764,31278
96,'50,Silk,65,51,18,,5974,7127,6951,,5538,5445,6626
97,'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1016,105,10,,730756,656874,663871,,520814,535762,489733
98,'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",18,34,3,,58375,65321,50287,,44899,57514,52977
99,'79,Zinc and articles thereof,9,27,0,,74340,80345,64636,,408976,542242,383422
