,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Zambia,United States of America's exports to Zambia,United States of America's exports to Zambia,Zambia's imports from world,Zambia's imports from world,Zambia's imports from world,Zambia's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
31,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",58,173,69,,61984,59927,53973,,9277421,10087139,10055768
32,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",27,34,68,,24313,29194,21131,,2163568,2646804,2839139
33,'95,"Toys, games and sports requisites; parts and accessories thereof",6,3,67,,5371,6072,6448,,6789420,7386133,7603164
34,'70,Glass and glassware,13,85,59,,23459,39877,38878,,5651743,6093142,6154191
35,'64,"Footwear, gaiters and the like; parts of such articles",36,31,59,,21861,29136,30401,,1150007,1343430,1414362
36,'76,Aluminium and articles thereof,62,28,38,,47141,42834,62186,,12033895,14511112,14277975
37,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",22,55,36,,100156,119783,123653,,15357618,16984547,14967434
38,'35,Albuminoidal substances; modified starches; glues; enzymes,63,142,35,,14208,19194,17759,,4685907,5203359,5315815
39,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",65,17,34,,4134,4962,5210,,1434670,1608212,1638216
40,'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,5,0,33,,789,719,953,,403747,414943,428342
41,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,0,23,,16828,12912,13766,,3853827,4288233,4354265
42,'29,Organic chemicals,18,16,19,,97486,97861,66964,,43083944,51063345,51730963
43,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",3,46,12,,2141,2679,11314,,2653173,3522489,3615147
44,'72,Iron and steel,41,6,11,,225912,294973,280500,,18675764,20891807,20463485
45,'44,Wood and articles of wood; wood charcoal,0,29,11,,18783,21559,28352,,9743086,10439488,9505752
46,'74,Copper and articles thereof,4,6,9,,14393,15142,8800,,10394755,10050035,10949330
47,'09,"Coffee, tea, mat̩ and spices",0,3,8,,7898,6350,6298,,1096175,1489801,1481480
48,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",69,45,8,,147822,425256,401169,,2832298,3301294,3161213
49,'21,Miscellaneous edible preparations,166,176,7,,33647,39541,39909,,10487862,10459069,10272263
50,'61,"Articles of apparel and clothing accessories, knitted or crocheted",0,3,4,,23671,22318,25302,,3030769,3492789,3394027
51,'81,Other base metals; cermets; articles thereof,0,75,4,,18902,318,272,,2374517,2948134,3281494
52,'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",7,3,3,,5159,5964,5535,,2089033,2235287,2037867
53,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",4,53,3,,180329,438779,235077,,13499059,16837864,15010743
54,'26,"Ores, slag and ash",0,0,0,,211358,377787,108314,,8488980,8565365,8103305
55,'22,"Beverages, spirits and vinegar",18,12,0,,53406,59071,64117,,8460677,10139208,9930612
56,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0,0,0,,2565,1075,2191,,1166032,1229489,1422932
57,'31,Fertilisers,275,259,0,,438397,692084,700375,,4621063,8472033,5483859
58,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",33,31,0,,26619,32511,38104,,7967676,8643291,7977328
59,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,,25962,28176,34740,,656457,750935,878798
60,'37,Photographic or cinematographic goods,0,0,0,,2076,726,887,,2293364,2195023,2127650
61,'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,0,0,,2537,2833,4011,,520814,535762,489733
62,'07,Edible vegetables and certain roots and tubers,0,0,0,,4676,4012,5129,,4927469,5041199,5335168
63,'08,Edible fruit and nuts; peel of citrus fruit or melons,0,0,0,,10587,15480,16393,,15061750,14756429,14865303
64,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,,5943,9889,10940,,1045682,1150195,1197838
65,'01,Live animals,0,0,0,,6429,7413,9028,,1279591,1198281,1191003
66,'02,Meat and edible meat offal,0,44,0,,27824,32460,22175,,22124262,23344302,21807421
